id,name,drilling_started,drilling_completed,client_name,owner_name,depth_meters,purpose_is,method_is,drill_name,drill_operator_name,length_meters,is_closed,location_name,isn93_east,isn93_north,wgs84_latitude,wgs84_longitude
2,SN-03,NULL,NULL,Kristbjörg Hilmarsdóttir,NULL,NULL,Heitavatnsöflun,Bein hola,Höggbor 1,Jarðboranir ríkisins,NULL,0,Breiðholt,361604,404353,"64° 6' 50.88""N","21° 50' 26.87""W"
5,,NULL,NULL,Rafmagnsveitur ríkisins ? Orkudeild,NULL,NULL,Annað,Annað,Án bors,NULL,NULL,0,Ruslakista,356760,407910,"64° 8' 38.47""N","21° 56' 36.54""W"
6,,NULL,NULL,Orkustofnun Raforkudeild,NULL,NULL,Annað,Bein hola,Án bors,NULL,NULL,0,Ruslakista,356765,407915,"64° 8' 38.63""N","21° 56' 36.19""W"
7,,1968-02-01 00:00:00.0000000,1968-02-14 00:00:00.0000000,Orkustofnun Raforkudeild,NULL,NULL,Virkjanarannsóknir,Bein hola,Án bors,NULL,NULL,0,Ruslakista,356770,407920,"64° 8' 38.80""N","21° 56' 35.84""W"
9,,NULL,NULL,Einar Guðmundsson,NULL,NULL,Annað,Bein hola,NULL,NULL,NULL,0,Seftjörn,306235,565135,"65° 31' 35.64""N","23° 11' 35.64""W"
31,Bfell,1965-07-09 00:00:00.0000000,1965-08-22 00:00:00.0000000,Rafmagnsveitur ríkisins ? Orkudeild,NULL,NULL,Annað,Annað,Án bors,NULL,NULL,0,Bláfell við Hvítárvatn,456000,444400,"64° 29' 54.24""N","19° 54' 56.26""W"
51,BFB-01,1974-07-22 00:00:00.0000000,1974-07-24 00:00:00.0000000,Vegagerð ríkisins,NULL,18,Mannvirkjagerð,Bein hola,Dugandi (C-2),Jarðboranir ríkisins,NULL,0,Seleyri,361670,450470,"64° 31' 38.68""N","21° 52' 57.29""W"
52,BFB-02,1974-07-24 00:00:00.0000000,1974-07-30 00:00:00.0000000,Vegagerð ríkisins,NULL,28,Mannvirkjagerð,Bein hola,Dugandi (C-2),Jarðboranir ríkisins,NULL,0,Seleyri,361675,450475,"64° 31' 38.85""N","21° 52' 56.93""W"
62,1,1962-08-02 00:00:00.0000000,1962-08-07 00:00:00.0000000,Rafmagnsveitur ríkisins ? Orkudeild,NULL,NULL,Virkjanarannsóknir,Bein hola,Sjóbor,NULL,NULL,0,Sámsstaðir,461600,401100,"64° 6' 38.53""N","19° 47' 16.36""W"
121,Heyjar,1968-06-03 00:00:00.0000000,1968-06-08 00:00:00.0000000,Orkustofnun Raforkudeild,NULL,NULL,Annað,Annað,NULL,NULL,NULL,0,Hrauneyjar,486165,410465,"64° 11' 47.67""N","19° 17' 5.6""W"
131,Stangi,1968-06-07 00:00:00.0000000,1968-06-23 00:00:00.0000000,Landsvirkjun,NULL,NULL,Annað,Annað,NULL,NULL,NULL,0,Sandafell,473100,409600,"64° 11' 16.94""N","19° 33' 12.48""W"
